list_code,criteria_code,assigned_as_in_tsc,tsc_criteria,comments_MP,actions
ActionPlan,(visiting population),,,To be added at a later date (Comment from FM to AM),
ActionPlan,A1a,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A1abd,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A1ad,,,To be added at a later date (Comment from FM to AM),
ActionPlan,"A1c, B1+B2c",,,To be added at a later date (Comment from FM to AM),
ActionPlan,A1d,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2+3+4b; C1,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2+3+4bc,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2+3+4bcde,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2abc+3bce+4bce,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2abce,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2abce+3abce+4abce,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2abce+3bce+4abce,,,To be added at a later date (Comment from FM to AM),
ActionPlan,"A2bc, C1+2a(ii)",,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2bc+3c+4bc,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2bc+3c+4c,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2bce,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2bce+3bce+4bce,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2bd,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2be,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A2c+3c+4c,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A3+4be (breeding population),,,To be added at a later date (Comment from FM to AM),
ActionPlan,A3+4cde,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A3c,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A3c+4bc,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A4ad,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A4ade,,,To be added at a later date (Comment from FM to AM),
ActionPlan,"A4bc, B2ab(iii,v)",,,To be added at a later date (Comment from FM to AM),
ActionPlan,A4bcde (visiting population),,,To be added at a later date (Comment from FM to AM),
ActionPlan,A4bd,,,To be added at a later date (Comment from FM to AM),
ActionPlan,A4bd (visiting population),,,To be added at a later date (Comment from FM to AM),
ActionPlan,A4bd (visting population),,,To be added at a later date (Comment from FM to AM),
ActionPlan,A4bde,,,To be added at a later date (Comment from FM to AM),
ActionPlan,Appoaching VU A4c,,,To be added at a later date (Comment from FM to AM),
ActionPlan,Approaching A2+3+4bce,,,To be added at a later date (Comment from FM to AM),
ActionPlan,"Approaching A2+3+4bde, B2ab(i,ii,iii,iv,v) (visiting population)",,,To be added at a later date (Comment from FM to AM),
ActionPlan,Approaching A2+3+4cde (visiting population),,,To be added at a later date (Comment from FM to AM),
